LATITUDE,LONGITUDE,BRIGHTNESS,SCAN,TRACK,ACQ_DATE,ACQ_TIME,SATELLITE,INSTRUMENT,CONFIDENCE,VERSION,BRIGHT_T31,FRP,DAYNIGHT
48.739930000000001,-121.130880000000005,302.689999999999998,2.340000000000000,1.480000000000000,2023/08/16,"0610",Terra,MODIS,"45",6.1NRT,291.139999999999986,10.310000000000000,N
48.763579999999997,-121.192800000000005,302.089999999999975,3.780000000000000,1.820000000000000,2023/08/16,"0939",Aqua,MODIS,"35",6.1NRT,290.329999999999984,34.070000000000000,N
48.761910000000000,-121.130489999999995,311.750000000000000,3.750000000000000,1.810000000000000,2023/08/16,"0939",Aqua,MODIS,"83",6.1NRT,289.670000000000016,74.629999999999995,N
48.745719999999999,-121.134159999999994,305.860000000000014,3.750000000000000,1.810000000000000,2023/08/16,"0939",Aqua,MODIS,"63",6.1NRT,290.649999999999977,47.280000000000001,N
48.759430000000002,-121.164100000000005,314.560000000000002,2.410000000000000,1.500000000000000,2023/08/16,"1117",Aqua,MODIS,"89",6.1NRT,291.360000000000014,49.520000000000003,N
48.752530000000000,-121.136300000000006,311.040000000000020,2.420000000000000,1.500000000000000,2023/08/16,"1117",Aqua,MODIS,"82",6.1NRT,291.500000000000000,39.000000000000000,N
48.744700000000002,-121.162480000000002,323.879999999999995,2.410000000000000,1.500000000000000,2023/08/16,"1117",Aqua,MODIS,"100",6.1NRT,292.399999999999977,81.549999999999997,N
48.747050000000002,-121.185130000000001,308.180000000000007,1.230000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"14",6.1NRT,295.089999999999975,8.690000000000000,N
48.702170000000002,-121.196500000000000,318.819999999999993,1.240000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"97",6.1NRT,296.810000000000002,19.629999999999999,N
48.705860000000001,-121.185869999999994,307.819999999999993,1.230000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"41",6.1NRT,296.660000000000025,7.480000000000000,N
48.702900000000000,-121.201899999999995,312.740000000000009,1.240000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"86",6.1NRT,296.339999999999975,12.779999999999999,N
48.716220000000000,-121.185490000000001,315.649999999999977,1.230000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"92",6.1NRT,296.089999999999975,16.129999999999999,N
48.713259999999998,-121.201549999999997,308.899999999999977,1.240000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"46",6.1NRT,294.110000000000014,9.600000000000000,N
48.740540000000003,-121.164659999999998,318.089999999999975,1.230000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"94",6.1NRT,296.839999999999975,18.160000000000000,N
48.737520000000004,-121.181150000000002,313.149999999999977,1.230000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"20",6.1NRT,294.879999999999995,11.910000000000000,N
48.750439999999998,-121.166520000000006,327.399999999999977,1.230000000000000,1.100000000000000,2023/08/17,"0514",Terra,MODIS,"100",6.1NRT,297.500000000000000,32.740000000000002,N
